DESCR,NAME,CODE,LOCALE
Australischer Dollar,Australischer Dollar,AUD,de
Brasilianischer Real,Brasilianischer Real,BRL,de
Euro,Euro,EUR,de
Britisches Pfund,Britisches Pfund,GBP,de
Israelischer Neuer Schekel,Israelischer Neuer Schekel,ILS,de
Indische Rupie,Indische Rupie,INR,de
Japanischer Yen,Japanischer Yen,JPY,de
Südkoreanischer Won,Südkoreanischer Won,KRW,de
US-Dollar,US-Dollar,USD,de
Vietnamesischer Dong,Vietnamesischer Dong,VND,de
